sample_size,m_sim,regret_adaptive,winner,regret_5,regret_10,regret_15
200,158,0.025919421487603317,5,0.025919421487603317,0.060097696663605746,0.08091116850321393
200,159,0.05142028364452608,5,0.05142028364452608,0.06716808488929701,0.10447535455565757
200,160,0.016930559381695756,6,0.041272701765126,0.08238574890317316,0.07510750688705234
200,161,0.031680447148250204,6,0.025919421487603317,0.06184572492602796,0.09009932022242628
200,162,0.025059914804611783,6,0.01566092235486176,0.0644519436792164,0.08174225079073563
200,163,0.023563525405570843,6,0.01566092235486176,0.062213807264564845,0.0940199558718498
200,164,0.052183054025099485,6,0.01566092235486176,0.07525426104479135,0.09690929369452096
200,165,0.0822930887154372,11,0.025919421487603317,0.07831418222630346,0.09288410366289153
200,166,0.05449767498214467,6,0.03617792062034486,0.057774336802367085,0.09501428170594836
200,167,0.0917051066217733,9,0.03617792062034486,0.09967872921130497,0.11452580604019996
200,168,0.046436419753086405,5,0.046436419753086405,0.07348244821956942,0.08631250765228037
200,169,0.023563525405570843,6,0.03617792062034486,0.04771853892459951,0.09613294434241403
200,170,0.08730101902867055,13,0.02591942148760333,0.09931010483624121,0.09715453525150494
200,171,0.047471662330374476,6,0.025919421487603317,0.058198482297724716,0.08512956841138658
200,172,0.028745134425058674,7,0.03101420263238444,0.08241007677787981,0.10158599250076521
200,173,0.025632305377002326,6,0.041272701765126,0.06453716712580349,0.10028334481175388
200,174,0.01566092235486176,5,0.01566092235486176,0.07538501428425672,0.1003980384654627
200,175,0.05225168987858382,7,0.025919421487603317,0.05264845679012345,0.08144375701459032
200,176,0.0922010445362718,8,0.05153120089786757,0.08767615294357717,0.1037548311396796
200,177,0.02591942148760333,5,0.02591942148760333,0.06506993419038874,0.08254204290378532
200,178,0.0528318589939802,7,0.05662598204264868,0.08882880318334863,0.10653959544944391
200,179,0.06829577339047035,9,0.01566092235486176,0.04769417916539129,0.0763570286195286
200,180,0.01566092235486176,5,0.01566092235486176,0.05820932557902256,0.08989842235486174
200,181,0.022991134833180285,6,0.06150224849505152,0.060269638302214046,0.09220057647178859
200,182,0.025919421487603317,5,0.025919421487603317,0.06331084583205795,0.08797852387511476
200,183,0.03101420263238444,5,0.03101420263238444,0.08446316447301296,0.08854159779614323
200,184,0.01899933935312724,6,0.01566092235486176,0.03370064534231201,0.06710808208346086
200,185,0.022043783797571673,7,0.01566092235486176,0.06909877563513928,0.0982396451892664
200,186,0.04944190261197834,8,0.025919421487603303,0.0460257907356392,0.0854906578410366
200,187,0.046436419753086405,5,0.046436419753086405,0.08236087133965922,0.0962213970513213
200,188,0.0417271732476278,8,0.01566092235486176,0.0729987399244975,0.10234471610039791
200,189,0.04375642536475871,6,0.02591942148760333,0.05865086725844301,0.08624432073257829
200,190,0.05153120089786756,5,0.05153120089786756,0.06826421666156514,0.09008880343842463
200,191,0.025919421487603317,5,0.025919421487603317,0.04652127844097541,0.08580917891031525
200,192,0.02591942148760333,5,0.02591942148760333,0.08204906132027345,0.10548160519334761
200,193,0.07168334991327416,8,0.01566092235486176,0.08383273135394348,0.10048612769105192
200,194,0.02591942148760333,5,0.02591942148760333,0.10239644424038363,0.10530197556371797
200,195,0.02591942148760333,5,0.02591942148760333,0.08185678502193652,0.09113495816753392
200,196,0.031680447148250204,6,0.01566092235486176,0.057827943577185986,0.08542495153555757
200,197,0.025919421487603303,5,0.025919421487603303,0.044810909601061114,0.10862076063666971
200,198,0.025919421487603303,5,0.025919421487603303,0.06711171946740127,0.08380250484644422
200,199,0.05767287776757474,9,0.01566092235486176,0.06282713753698602,0.099217016120804
400,0,0.030345689215386162,11,0.025919421487603317,0.04508796041220285,0.062476909243954694
400,1,0.026709353637383942,7,0.03101420263238447,0.04128617998163453,0.07193006836037139
400,2,0.01582577543107848,6,0.01566092235486176,0.025627015100499972,0.054280538975614745
400,3,0.04414512294663811,8,0.01566092235486176,0.04731953627180899,0.06865516018773594
400,4,0.025919421487603317,5,0.025919421487603317,0.023062955310682587,0.060381450872359965
400,5,0.01842694878073667,6,0.04643641975308642,0.05033638404244464,0.0714618087440057
400,6,0.02591942148760333,5,0.02591942148760333,0.0369695923885318,0.07523032471176411
